Sentiment,tweet
0,poor little vids trying hope dont try hard tonight xx
0,bed wake early tomorrow morning
0,able listen speakers
0,now solving big equation total pain butt
0,ate feel sick
0,tried purchase domain down drain kind like gambling
1,lunch dj come eat
0,just back va tech medical center poor rest least month
0,can log account super
1,adventure need life am glad great week thanks yr response
1,makes pee sitting down grown gay man
1,sum day word
1,great minds think alike
0,tired want clean anymore
1,thanks follow
1,thanks guys added couple love handle inches
1,feeling today wish stay bed today ok last year let school
0,sad tough game went pk screw
0,miss wish th
0,leaving
0,ve lost ipod am
1,white girl head shoes
1,book chapter
1,working photos year celebration stay www za
0,heard click flash cut final product
0,willow better harper sounds worse
1,favorite word
0,ve locked down video
1,absolutely right
1,depends woman love dresses tend dip low back
0,feel letting down side being focused not nearly sorry
0,im trying keep painful
0,feeling ill ill ill
0,best part says disable compatibility mode hints
0,love seeing movies
0,wish
1,watching tv fast remember loved damn movie
0,planned work cafe meeting not working spent last minutes setting
1,floor today will need company here not busy
1,hi sounds like feeling bit better great great day
1,here dude here table fo
1,hi morning xxx
1,good note meet richards red ball years ago sweet ll forget
0,rain not
1,dont think need jump hot
0,good morning sun here today am afraid coffee
1,anytime need drinking support here specialty
0,ok will back painting house
1,local happy find day
1,just back successful trip bikes checked week ready start
0,know
1,good work
1,thought love cl totally respect made reference
0,oklahoma couple hours seriously missing civilization
1,ended helping radio fun evening spent champions england
1,can looks bit like bigger offer hole
0,finally im bad news don
1,happy mother day america god bless
0,says miss justice box
1,aw cool woman who plays
1,night rock star
1,don reason sounds stupid ll
1,wish school year faster can move life
0,can only company
0,hope guys going well assignments trying cut down
1,hope dry
0,park today racing cut arm
0,keen hey monday mess new zealand only jesus straight christian
0,ah poor hate happens
1,fine not sleep weather good
1,just
1,setting wireless access layer network today mesh lab coming online can wait run loads gather data
0,official boss leaving arena future sucks
1,eh
1,business lesson listen music
1,enjoying last rays weekend sun
0,campus safe say money
1,ok ok completely stuffed full survivor fine just tree
0,now leaving sad
1,seattle pride will june th am come support community march marriage equality
1,don ask still idea work
0,miss fool
0,chocolate think continue diet
0,coming guess true body perfect
1,day sunshine days now oasis
0,last day falls salon will miss family
1,like classes
1,work next cruise
1,can check mine tell think www myspace com
1,find
1,see point em let know
1,well feel talking ta ta good
1,phone
0,horrible poor mom
0,ll like mel left naked desert
0,garden looks beautiful bad can see
1,ve case designed can prove want play game
0,fell holder going home today finds tell
1,platinum fantastic album
1,best way start morning
1,met mother tomorrow am
0,tired
0,bell
0,hate lack makes sad
0,josh just justin time study
0,know important cry
1,am tired am ready see reality
0,looks like staying tonight
0,know right wanted account song mom let sucks
0,homework day
0,dad ocean camera pocket
0,bored
1,dude meet future east coast meetup
0,feel pain today hrs sleep
0,fine food friends evening will missed
0,damn
1,bb pearl here keyboard let type phone number im se boy
0,sorry
1,know don think air cable channels anymore can download net
1,will check website can idea product want try will email tomorrow
0,hey here fun goes down
1,just joined better good
0,music put
0,not sure mr saturday playing games not back dates week sick
0,mentioned moment passed sad
1,rain supposed today not lovely bright happy making
1,im proud
0,feel bad woman
1,lol yes
1,ok try em can see works time late
0,happy summer northern began june edt now days shorter
0,july th bet work come charlotte sure manager mind lol
0,help anymore maybe just learn hard way im going bed drivers ed gonna hell tomorrow
1,today free scottish sun
0,work drinking coffee kinda listening local news hungry usual
1,thanks let know need
0,thinking changes papers ve printed
0,way university miss learning group morning
0,losing lbs will easy tell ur secret ve trying lbs months not
1,new offerings help
0,church not feeling well
0,wine
0,officially destroyed hopefully can fix
1,im still eating chocolate easter homework studying half boring prefer
1,day using www com once add train pay vip
1,looking breakfast show page failed
1,david now posting account
0,can play today doctor
1,reason look forward reading editorial www com love
1,leaving florida excited
1,cakes oven soon good morning hope well today
0,new user interface ui coming soon current young
0,driving back boston easter sunday blowing pass
0,hate makes allergy times worse
0,fair think part happy win looked pressure
0,sons playing hours
0,not looking forward work school
1,love hair dont cut ur locks
1,can wait super excited
1,high low
1,motivation came not finished well way gonna finish xx
0,morning world feel pretty good hours til pm til now upset
0,david mitchell presenting news tonight love think ace note damn
1,schedule now soft launch tomorrow evening first customer lost cat
1,lord see way see
1,looking old poster day short hair young ta old
0,fun wish
1,home long day work am pm crazy came right home lol who em
0,god chest feels bad today feel like little sat can breath
0,want great deal shipping costs just hat
0,will ok couple months ago thumb know
0,listening wake surgery phone fell way recovery lost place
1,poor old guy pretty cute
1,ll sure vote competition star name well idol
0,wish living tomatoes still inside well
0,love can eat chinese
0,just call delayed week wants solar moon roof waiting mine
0,stars needed
0,man horrible day stuck inside working sun wants
0,trouble writing stuff audience sure says
0,mins sorry keep going bed
0,cause im lol real im born months early like bad heart bad sight bad back yea
1,love
0,miss
1,new phone tattoo monday just tea
0,coffee say wt lol miss whole weeks xx
0,can phone
0,not
0,hands lost half movement
1,comment who won game completed
1,bon qui qui
0,just hours cg podcast im well im weak
1,talk meeting tonight tampa chamber pm guest speaker word mouth marketing happy hour
1,library ll find complete story ll finish
1,downtown disney
0,pos come back food alex goes ill cause took car
0,yes aware just still
0,locked account longer works verification email not come hours
1,don scared need fresh minds
1,will ran land lost funny
1,cute
0,need car holy crap
1,random drunk girl sitting car man bag man bag name
1,meant reply kinda replied dad can vote
1,lol
0,im covered bloody stuff bathroom dried children look
0,like baby am
1,celebs characters rest
0,horny kitty left
1,cole loves
0,hey tried buy ss album work stupid computer gay
1,good live little
1,just home fun night beach tomorrow morning
0,ready work can back bed maybe hours sleep
0,day looks like gonna movie night
1,happy ll take penguin pics collect penguin stuff am penguin can wait see
0,long time ge hold lol told days credit check new customer trading year
1,nice will let next com screening
0,going see honey today ah just see weekends hi army
0,english sucks xx
1,life
1,just found will rock wow pretty
0,blah
0,take short little right now like half hour head not sleeping
0,still tired
0,house grew abandoned half down sad
1,finally work
0,yeah love food small
0,damn burning bright
1,can ask question
0,ready leave
1,can put pizza oven
1,know only not bad
0,watching revenge fallen wanna nt gt rob
1,mind li
1,happy birthday mate good
1,forgot means today
0,asking batman not sure want know assuming involves well
0,french test
0,trying
1,years need best coverage world take look here yes here europe moving
1,haven hard
0,exam tomorrow
0,just spend last minutes making french only discover tomato sauce
0,thanks tips gonna invest
1,ve rain here lately ton may flowers lol enjoy day
1,dad birthday present good price hop read dad don look
1,sitting north carolina
1,guys scenes working hard millions fans
0,going able buy ticket online tomorrow la
1,red
0,feel bad kitty just want feel better
1,last work weeks ah im good
0,needed work days row
0,tired am running stuff wanted tonight think ll fall soon
0,poor car
1,finally don keep guys happy
0,wanna talk right now
0,miss now seas tough being love
1,hey thought like knows tour edition enjoy
1,morning don
0,wish game
0,watch
1,ok
1,prince erotic city feat
1,happy will new profile picture
0,bad times
1,yes reply know thought ask give weekend
0,yea man bad boy actually talented artists
0,airport hungry
1,thanks little
1,happy birthday
1,making pirates club
0,day day yrs old
1,sorry see down sorry dd looking hair back
1,mention blog post vancouver
1,am happy
1,great conversation sheets act love eh eh
0,feeling like old lady suffering lower back guess pj pillow time
1,life glad brought closer
1,lovely birthday
1,cool super day
1,pleasure mark
0,beautiful once
1,cluster thanks
0,going week hell
0,want see pictures
1,sleep good night world hope ll not rain tomorrow
0,going physical therapy study biology wanted see today stand eu
1,thanks follow friday
0,come alone
0,blah today am don want not don want wake early
1,wish like taylor swift pretty girls
0,mtv movie awards looking forward see tv
0,drinking break free
1,reasons wrong dear absolutely lovely wow
1,ok lil going dream come clean house thanks ur time
1,bed
1,working day day least thanksgiving lunch
1,friends here who will walk dark light smile
1,just thinking need sort logo like rabbit train
0,god laptop crack fault
1,speak name chat am big fan follow
1,cleaning laundry
1,asked mother
1,entertaining minutes spent reading recorded today show soon heard
1,downloading downloading downloading
0,em dad caught smoking quit months ago suddenly started disappointed right now
0,la fitness closed pm drove reason
1,love song
1,blackberry don touch works fine years
1,know profile worth joke
1,knew start year old shirt now makes see
0,not ll arrive soon
1,dude car
0,forgot homework
0,love am broke
1,sweet
0,can horrible dream last night head
1,follow funny nice bloody good producer
0,hey here training far gym sessions need buy bike km minutes km day little worried
0,dice coaches made big mistake not picking jacob
0,tomorrow start school not excited
1,lil thanks
1,sounds like day epic just wait next year back
1,fine longer house better
0,don like hearing birds indicator can
1,stanley cup match yes am pens fan
1,being bored sitting computer
0,damn sunday
1,home glad time
1,yes audio royalty free
0,house cup coffee
0,blog browser
1,fucking agree hate shit hate
0,making don mine better come
0,well time back study hate studying exams well wish luck gonna next break love ya
1,morning hope great monday
1,hello girl wanna friends
1,well thats common
0,check man man
0,mad right now ma web add ma twin
0,trying keep hope alive
0,funny fly im not making dresses anymore show
0,new firmware rocks waiting
1,king blues
0,ll talk want
1,well least great time thats important
0,yeah supposed writers want first season good can only handle girl
0,ton js deal today not pre written write
1,not fair reply jack only love
1,day adventure jam end best vacation far next year
1,just little shake back editing
0,just sad direct messages won message hope ll work soon lol
1,live life boss fun
1,ya fail dear good people know
0,wish aaron concert
0,animal attacked duck nest eggs destroyed sad
1,eating lunch right know
1,watch video lol
0,stock
1,wait see janet
0,last picture
1,made updates today record talk tomorrow bye
0,movie knowing made afraid alone room am
1,www com shirt shopping just clicks away
0,ready love
1,watching jon ross show
1,being locked taking place today
0,broken bloody leg hit holidays am total watching moment enjoyed
0,play
1,hi now following exploring connection astronomy internet
1,thanks yea ve known like great kid like
0,work soon
0,shop san diego jay eminem show la
0,ride today hard last think pulled need help desk
0,feels sad only person can feel better xxx
1,morning washing machine going house house ready wedding day busy busy busy
0,im sad able late night bound happen weekend
0,finally convinced see tomorrow night sold
0,feels sick hope dont type flu
1,sunday yeah see
1,official penny can sing
1,will try remember george concert
1,going take photo ride whole new
0,back work
1,wanna hang
1,bid ou need spend leaves week
1,just mailed application
0,feeling better yes bored text
0,step employment va counts system not status
1,can believe part fine now talking core god jesus help
0,hope feel better love weather crazy
0,trying study exams eyes keep fail
1,hey
0,wishing money travel best friend europe
0,jesus god
0,think fluid not big deal may mean needs surgery correct
1,lol favourites times
1,safe trip fun hope can give
1,great view
1,mouth
0,yo word
1,mtv movie awards yesterday robert makers
0,can believe only week ago today boat party good times
1,official thank rock
1,sick
0,can break stand bmw oops learned way
1,types bbc showing just started am later kids
0,welcome thank back wait
0,guess can ask help find blue contacts
1,missed
1,crazy girl
0,sad lost engagement ring
1,work fun feet wearing work tomorrow dental office world
0,sound like great surprise sorry missed
1,good morning
0,lips dry
1,good morning sunday drinking green tea working new illustrations packaging orders
0,thanks still real life
0,last client day late looking like show think forgot
1,good morning thanks
1,last night saw wearing black wanna kiss miss damn
0,thanks back
0,table flip still don know
0,fu david sad
0,talk dad now prepared tonight
0,myspace can see pics
0,sunday
1,sounds like alex
0,need now
0,left cold
0,am time lovely bathroom
1,love chi
0,miss old days still disney channel obviously don like anymore now
0,part body hard not throw
1,new new new
0,missing dad
0,respect who differ stuck box makes gay im good tell lets move forward
1,man wish star trek hey check full movie
0,later mayor mayor old self once
0,day especially lunch who leaving
0,going
0,just set
1,am thanks ll put mine
1,checking good morning miami bright early ready hit gym
1,actually word talking book little lol
0,runs
1,bye
1,taking bath
0,kenny wallace rear break problems night locked hit espn
1,mixed
1,happy im city
0,amazing eyes blue eyes sucks dark brown eyes
0,lol feeling here south friend fl feeling broke
0,sad watch ep
1,sorry know love
1,kiss give ll give
0,buy like
0,amazing shopping trip sexy
0,am sad hear good friend
0,hour ago waiting nd watching fun fun fun
1,know funny amp page canadian case pharmaceuticals
0,road test scared
0,car car died good friday ve need car
0,weekend internet party evening
1,thanks following
0,im sorry thats just horrible
0,yes here thanks change start mail ordering
1,combo
0,warren just died
1,lazy saturday
0,see update see
0,thanks started like crazy gym today vitamin trick
0,who high phrases
0,dude thats sad best year qld
0,makes kind sad see
1,hang
0,aw here am read face girl just say word book still good
1,kitchen moving
0,here now wait download
0,want
0,sorry new not letting follow back
0,last day college monday total don want end
0,wanna
1,whole word mixing
1,morning good day
0,not good season far
0,now like
1,only today im good
1,giant year old excited new brothers cd today
1,solution stops genuine people following based
1,land replies place least know loved
0,know felt bad sweet
0,thats suggestion lol wanna play
0,luck finding new wallet
1,requested
1,sun fog looks like lovely day
0,like guys just like park
0,finally started homework school weekend
0,feel like am going pass honest head poor
1,dog just floor obviously trained lol
1,sunny morning
1,waiting dad pick gonna watch movie new photos soon
0,don know can ll just pray god sound religious right now
1,appreciate coverage keep give crew raise
1,right just bought new computer will easier code
0,hope feel better
1,points card points free foot long going now
1,takes big man type sad like
0,bad right now
1,interesting dozens people
0,back daily working peoples old code terrible
1,ve given bell
1,hey early
1,writing
1,sure dawn here thanks
0,forgot jacket last night suck
1,seen want change pic new sheriff town
0,fever take mobile www com
1,well am tired travelling today gonna head bed sleep well sweet dreams safe
1,look amazing toilet shot
0,still sick prepare presentation tuesday stayed bed concentrate
1,just extremely board friend com like minutes gonna spend night
1,im like bored arms hands kinda away arm parts still der
0,eating sandwich drinking pop dude missed montana
1,afternoon gorgeous good hood
1,will come ohio
1,wow not xx
1,listening
1,talk drunk ll explain theories good luck understanding
0,coffee
0,people need food remedies man well
1,jesus christ wonder
1,don forget watch
0,city heat not well bed room
0,love miss
1,happy birthday little family sister now crazy taylor swift poster
1,finally won game restaurant birthday dinner life good
0,need double
0,not swimming looks like going storm
1,yes know mike ask
0,can phone call hate anxiety crap cure
0,hate shit
1,rock
1,now
1,today just
0,ray
0,not gonna able week will start next week
0,know number
0,wants finish assignment ll just start
1,big welcome newest thanks
0,news hd essay expert korean business ask
0,fuck hate height hit head bus
1,just made day
1,request play structure heart
0,made hopefully goes quick
1,going work experience shooting stars
0,finally home practice head hard knee poor
1,may june right corner
0,shots mouth morning handle once goes away
1,mean not only followed thinking gordon silly
1,yeah only cos like lol xx
0,damn hot classroom
1,thanks im not sure im comfortable sudden surge will difficult keep touch
0,good luck wish
1,special eddie bloody fantastic enjoyed thanks
1,thanks yeah watching bit earlier heart know
0,ready work doctor appointment later
1,final number today last german class
0,fucking cold am
0,dressed still clothes
0,removed family photos story menu loved part still way better italian
0,paid vip last cruise stayed doors down room take picture
1,still bone kinda keep stuff like
0,poker pocket kings ace only dollar
1,maybe tomorrow miss cam laptop
1,man
1,lazy day can wait tonight book awesome
0,score penalty long way
1,yesterday day
1,just hours sleep tonight fuck beat north
0,like
0,dont want leave
1,cos lodging family try avoid pm just well
1,let say air still enjoying sun trying ride taylor writing song
1,who wants photo taken today mean beautiful sun away im am bored
0,wrong terminal
1,love love actually
1,yea honey blond like
1,gs australia day feel marketing next weeks
1,college nice sunny day
1,wow thought thanks
1,agree
0,sad feel like nathan now
0,just returned woods beautiful day difficult take pictures lovely pod
0,friends
0,see
1,little time weekend
1,better half jungle herbs
1,buying children well good think part daily job buy read
1,yea john turn drive
0,new tv show down shut not funny
1,good morning still sussex
1,excited new album will stone winner classic hope mariah
1,good feeling
0,working til nice day
1,yes fine
0,change projection easy justify differences people
1,tom
0,shut
1,based netherlands still list trip uk london think part
1,just wanted love wish luck world
0,want miss
1,wish luck can
0,man ill just feeling bad damn cold listening female version
0,early still not time breakfast
0,work hour
0,not making trying people laugh hard job am good mean mean
0,going bowling ryan lol miss
0,red robin council sad sign mary ann
0,now just waiting brother graduation start long grad lunch party nice
1,took pictures moore site www com today turned good need milf work
